"","Squad","Player","Age","Gls","Ast","PK","CrdY","CrdR","xG_Expected","xA_Expected","single_pos","Min_percent_Playing_Time","Subs_Subs","unSub_Subs","Plus_Minus_Team_Success","On_minus_Off_Team_Success_xG","Sh_Standard","SoT_percent_Standard","npxG_per_Sh_Expected","Att_Total","Cmp_percent_Total","PrgDist_Total","KP","PPA","CrsPA","Prog","Tkl_Tackles","Tkl_percent_Vs_Dribbles","Press_Pressures","_percent_Pressures","Blocks_Blocks","Int","Clr","Err","GA","SoTA","Save_percent","CS","player_height_mtrs","player_market_value_euro","forward","defender","midfield","keeper"
"1","Milan","Mike Maignan","26",0,1,0,1,0,0,0.4,"GK",84.2,0,0,34,0.95,0,0,0,1150,79.1,16472,2,1,0,1,0,0,2,50,0,0,0,1,21,101,81.2,17,"1.91",3.5e+07,0,0,0,1
"2","Milan","Rafael Leão","22",11,10,0,4,0,9.1,6.3,"FW",76.2,3,1,34,0.43,97,39.2,0.09,805,71.9,3224,45,51,9,119,23,38.1,267,29.2,21,22,5,0,0,0,0,0,"1.88",7e+07,1,0,0,0
"3","Milan","Sandro Tonali","21",5,2,0,9,0,4.3,4,"MF",76,5,1,36,0.35,38,28.9,0.11,1481,81.6,6797,44,26,7,104,50,44.4,576,31.9,39,57,19,1,0,0,0,0,"1.81",5e+07,0,0,1,0
"4","Milan","Fikayo Tomori","23",0,0,0,4,0,2.2,0.1,"DF",79.5,1,1,36,-0.15,11,18.2,0.2,1696,88.7,9961,3,0,0,72,73,58.6,413,35.1,60,76,101,0,0,0,0,0,"1.85",5e+07,0,1,0,0
"5","Milan","Theo Hernández","23",5,5,1,7,2,3.9,6.4,"DF",79.3,2,0,36,0.81,40,32.5,0.07,1748,81.2,9249,50,36,15,123,62,57.1,385,32.7,38,55,34,2,0,0,0,0,"1.84",5.5e+07,0,1,0,0
"6","Milan","Franck Kessié","24",6,0,2,2,0,4.4,1.5,"MF",67.5,6,0,22,-0.41,32,25,0.07,1329,87.4,5060,25,18,4,103,52,60,424,32.8,45,48,26,0,0,0,0,0,"1.83",4.5e+07,0,0,1,0
"7","Milan","Brahim Díaz","21",3,3,0,4,0,4.7,2.5,"MF",54.2,6,4,19,0.33,30,20,0.16,730,84.4,2248,31,29,3,67,34,35,369,28.5,8,12,6,0,0,0,0,0,"1.71",1.8e+07,0,0,1,0
"8","Milan","Davide Calabria","24",2,2,0,2,0,3.2,1.4,"DF",62,2,1,23,0.03,36,22.2,0.09,1267,76.2,7859,19,26,13,115,76,46.7,395,31.9,46,41,35,0,0,0,0,0,"1.76",2.5e+07,0,1,0,0
"9","Milan","Olivier Giroud","34",11,3,2,4,0,10.3,2,"FW",55.3,7,1,21,-0.09,61,37.7,0.14,486,69.3,655,21,11,1,23,17,18.2,378,25.1,19,4,20,0,0,0,0,0,"1.93",3500000,1,0,0,0
"10","Milan","Alexis Saelemaekers","22",1,3,0,2,0,3.3,3.6,"FW",54.5,14,2,16,0.3,39,30.8,0.09,867,79.1,2486,36,26,9,67,41,33.3,414,25.4,24,28,8,0,0,0,0,0,"1.8",1.7e+07,1,0,0,0
"11","Milan","Pierre Kalulu","21",1,2,0,4,0,0.4,0.5,"DF",56.8,7,10,26,0.47,5,40,0.08,1155,88,6732,6,11,6,58,64,76.9,361,34.6,45,51,52,0,0,0,0,0,"1.79",2.8e+07,0,1,0,0
"12","Milan","Alessio Romagnoli","26",1,0,0,4,1,0.7,0.1,"DF",41.2,3,10,9,-0.45,12,41.7,0.06,980,89.5,5644,3,2,0,60,25,66.7,147,34.7,26,28,50,0,0,0,0,0,"1.85",1.7e+07,0,1,0,0
"13","Milan","Ismaël Bennacer","23",2,1,0,7,0,0.8,2,"MF",44.6,16,0,15,-0.34,16,37.5,0.05,1097,86.9,5170,20,21,4,114,52,38.8,410,32.4,20,42,17,0,0,0,0,0,"1.75",3.3e+07,0,0,1,0
"14","Milan","Junior Messias","30",5,2,0,2,0,3.6,2,"FW",41.8,12,1,17,-0.16,44,38.6,0.08,547,67.5,1759,18,19,6,47,34,37.9,276,27.9,20,33,12,0,0,0,0,0,"1.74",6e+06,1,0,0,0
